DNI,APELLIDO,NOMBRE,FECHA_DE_NACIMIENTO,SEXO,DIRECCION,LOCALIDAD,PROVINCIA,PAIS,TELEFONO,RESPONSABLE_TUTOR,TELEFONO_RESPONSABLE_TUTOR,OCUPACION,OBSERVACIONES,FOTO,GRADO,DIVISION
47362730,BAEZ,JULIO CESAR,2008-05-14,M,Prado 256,Villa Dolores,Córdoba,Argentina,3544-462779,Marta Baez,3544-462780,Estudiante,,,CUARTO,C
47321909,BARRIONUEVO,MATIAS JULIAN,2008-07-22,M,Luna 458,Villa Dolores,Córdoba,Argentina,3544-622439,Juan Barrionuevo,3544-622440,Estudiante,,,CUARTO,C
47578931,BOBARINI,OCTAVIO LUCIO,2008-03-10,M,Simón Bolívar 458,Villa Dolores,Córdoba,Argentina,3544-401445,Laura Bobarini,3544-401446,Estudiante,,,CUARTO,C
47665747,BRITOS,ANALUZ,2008-11-05,F,Castellano 2145,Villa Dolores,Córdoba,Argentina,3544-301817,Silvia Britos,3544-301818,Estudiante,,,CUARTO,C
47912214,CORIA REYNOSO,NOELIA,2008-09-18,F,Prado 256,Villa Dolores,Córdoba,Argentina,3544-431726,Ricardo Coria,3544-431727,Estudiante,,,CUARTO,C
46660654,FARIAS,GASTON SEBASTIAN,2008-04-21,M,Luna 458,Villa Dolores,Córdoba,Argentina,3544-434919,María Farias,3544-434920,Estudiante,,,CUARTO,C
47363979,FARIAS QUEVEDO,ESTEFANIA,2008-06-30,F,Simón Bolívar 458,Villa Dolores,Córdoba,Argentina,3544-623767,José Quevedo,3544-623768,Estudiante,,,CUARTO,C
45935920,FARIAS QUEVEDO,GABRIEL EZEQUIEL,2008-02-17,M,Castellano 2145,Villa Dolores,Córdoba,Argentina,3544-623767,José Quevedo,3544-623768,Estudiante,,,CUARTO,C
47823340,FERNANDEZ,MIQUEAS JOSE,2008-08-25,M,Prado 256,Villa Dolores,Córdoba,Argentina,3544-417685,Ana Fernandez,3544-417686,Estudiante,,,CUARTO,C
46131995,GALLARDO,RODRIGO IVAN,2008-03-29,M,Luna 458,Villa Dolores,Córdoba,Argentina,3544-584370,Claudia Gallardo,3544-584371,Estudiante,,,CUARTO,C
48127054,JOFRE MORAN,YARA GABRIELA,2008-10-12,F,Simón Bolívar 458,Villa Dolores,Córdoba,Argentina,3544-629326,Marcelo Jofre,3544-629327,Estudiante,,,CUARTO,C
47665795,MATIJAS FUNES,SALVADOR,2008-07-01,M,Castellano 2145,Villa Dolores,Córdoba,Argentina,3544-609344,Patricia Funes,3544-609345,Estudiante,,,CUARTO,C
46454833,MIRANDA,MANUEL,2008-01-19,M,Prado 256,Villa Dolores,Córdoba,Argentina,3544-584827,Roberto Miranda,3544-584828,Estudiante,,,CUARTO,C
47362765,MONTOYA,MIRKO JOSIAS,2008-05-09,M,Luna 458,Villa Dolores,Córdoba,Argentina,3544-621340,Carolina Montoya,3544-621341,Estudiante,,,CUARTO,C
47365661,REGIS POUSSET,MAXIMO NAMIR,2008-09-03,M,Simón Bolívar 458,Villa Dolores,Córdoba,Argentina,3544-624877,Daniel Regis,3544-624878,Estudiante,,,CUARTO,C
47645840,RUINA,TOBIAS AGUSTIN,2008-06-15,M,Castellano 2145,Villa Dolores,Córdoba,Argentina,11-33657934,Laura Ruina,11-33657935,Estudiante,,,CUARTO,C
47912208,SUAREZ,LAUTARO MATEO,2008-11-21,M,Prado 256,Villa Dolores,Córdoba,Argentina,3544-637174,Marcos Suarez,3544-637175,Estudiante,,,CUARTO,C
47250648,VIDAL,MAICO,2008-04-07,M,Luna 458,Villa Dolores,Córdoba,Argentina,3544-547806,Andrea Vidal,3544-547807,Estudiante,,,CUARTO,C
48234567,ALVAREZ,MARIA SOFIA,2007-05-14,F,Belgrano 120,Villa Dolores,Córdoba,Argentina,3544-512345,Claudia Alvarez,3544-512346,Estudiante,,,QUINTO,C
47987654,CASTRO,JUAN IGNACIO,2007-07-22,M,San Martín 450,Villa Dolores,Córdoba,Argentina,3544-623890,Roberto Castro,3544-623891,Estudiante,,,QUINTO,C
48123456,DOMINGUEZ,CAROLINA PAOLA,2007-03-10,F,Rivadavia 789,Villa Dolores,Córdoba,Argentina,3544-534567,Silvia Dominguez,3544-534568,Estudiante,,,QUINTO,C
47876543,ESCOBAR,LUIS FERNANDO,2007-11-05,M,Mitre 234,Villa Dolores,Córdoba,Argentina,3544-645678,Marcela Escobar,3544-645679,Estudiante,,,QUINTO,C
48098765,GOMEZ,VALENTINA MARTINA,2007-09-18,F,Urquiza 567,Villa Dolores,Córdoba,Argentina,3544-556789,José Gomez,3544-556790,Estudiante,,,QUINTO,C
47765432,HERRERA,DANIEL ALEJANDRO,2007-04-21,M,Av. España 890,Villa Dolores,Córdoba,Argentina,3544-667890,Ana Herrera,3544-667891,Estudiante,,,QUINTO,C
48219876,LOPEZ,CAMILA ANDREA,2007-06-30,F,San Juan 345,Villa Dolores,Córdoba,Argentina,3544-578901,Marcos Lopez,3544-578902,Estudiante,,,QUINTO,C
47954321,MOLINA,FRANCO NICOLAS,2007-02-17,M,Catamarca 678,Villa Dolores,Córdoba,Argentina,3544-689012,Laura Molina,3544-689013,Estudiante,,,QUINTO,C
48176543,ORTEGA,AGUSTINA BELEN,2007-08-25,F,Entre Ríos 456,Villa Dolores,Córdoba,Argentina,3544-590123,Claudio Ortega,3544-590124,Estudiante,,,QUINTO,C
47654321,PEREYRA,EMILIANO DAVID,2007-03-29,M,Córdoba 789,Villa Dolores,Córdoba,Argentina,3544-601234,Patricia Pereyra,3544-601235,Estudiante,,,QUINTO,C
48012345,RAMIREZ,SOFIA LUZ,2007-10-12,F,La Rioja 234,Villa Dolores,Córdoba,Argentina,3544-612345,Daniel Ramirez,3544-612346,Estudiante,,,QUINTO,C
47890123,SOSA,MATEO JOAQUIN,2007-07-01,M,Av. Libertad 567,Villa Dolores,Córdoba,Argentina,3544-623456,Marcela Sosa,3544-623457,Estudiante,,,QUINTO,C
48134567,TORRES,VALERIA NOEMI,2007-01-19,F,San Luis 890,Villa Dolores,Córdoba,Argentina,3544-634567,Roberto Torres,3544-634568,Estudiante,,,QUINTO,C
47923456,VARGAS,BRUNO ESTEBAN,2007-05-09,M,Av. Italia 345,Villa Dolores,Córdoba,Argentina,3544-645678,Claudia Vargas,3544-645679,Estudiante,,,QUINTO,C
48245678,ZALAZAR,LUCIANA FLORENCIA,2007-09-03,F,Av. Belgrano 678,Villa Dolores,Córdoba,Argentina,3544-656789,José Zalazar,3544-656790,Estudiante,,,QUINTO,C

